title,company,salary,summary
Client Support Executive (1-Yr Contract),Amobee,NA,"Ensure sales data and reports on contracts are key into the system and. The Amobee Marketing Platform enables marketers to plan and activate cross channel,..."
Training Coordinator,"Rainbow Centre, Singapore",NA,Collate data on course attendanceProduce reports/statistical information as and when required. Keeping data of training suppliers & training materials up to...
Analyst,Visa,NA,Ensure data integrity and consistency of information as well as organized documentation of results and data sources used....
Product Data Analyst Intern,Rotimatic,NA,Identify data points to be captured for new features or missing data points for existing features and work with Big Data Analyst to get the right data to...
(109) BI Consultant/Technical Consultant (Microstrategy),NA,NA,"Understanding of data warehousing / data mart, ETL techniques and approaches. Microstrategy Architect, Microstrategy Dashboards, Microstrategy SDK, Microsoft..."
Management Executive Officer (Statistical),Department of Statistics,NA,Investigate and resolve data gaps and inconsistencies using various information sources and professional knowledge....
Management Executive Officer (Statistical) - Census,Department of Statistics,NA,"Develop and test new systems to support the data collection and processing,. Supervise teams in the data collection and processing during the conduct of Census...."
"Director, Data Analytics",The Economist Group,NA,Recruits and hires new data analysts to support the production and delivery of the data solutions (as budgeted)....
Admin Assistant,Eminence,NA,"Job Description: We are looking for an enthusiastic admin assistant. Your job role includes assisting to organise events, keeping schedules, providing..."
Data Entry Clerk,Tradewinds Food Industries Pte Ltd,NA,* Knowledge of ERP & MYOB system * Key in daily order * Key in daily Purchase & Sales * Print Do & Invoice * General admin duties Job Type: Full-time Job...
Data Entry Clerk,IT Riders Pte Ltd,NA,Possess some Data Entry / Admin experience. Any other duties as assigned....
3 Months Data Entry Clerk,Viant Pte Ltd,NA,Data Entry Experience. Good Knowledge with MS Office especially Excel....
Associate Business Analyst,AvePoint,NA,"Over 15,000 companies and 5 million cloud users trust AvePoint to accelerate the migration, management, and protection of their Office 365 and SharePoint data...."
Data Analyst (H/F),ASTEK,NA,"Experience with Data Mining, Statistical Modelling, and Data Manipulation. At least 7 years’ experience in data mining, data analysis, model building,..."
"Big Data Database Administrator, Corporate Technology, Assoc...",JP Morgan Chase,NA,"Preserve security and data privacy. Translate, load and exhibit unrelated data sets in various formats and sources like JSON, text files, Kafka queues, and log..."
Analytical Specialist,Archer Daniels Midland Company,NA,"Conduct sample preparation (liquid extraction, headspace extraction, SDE etc.), instrument analysis (GC-MS, GC-FID and HPLC analysis), data interpretation and..."
Strategy and Business Operations Associate,Indeed,NA,"1-2 years of work experience in an analytical role such as business intelligence, data analytics, consulting. You will perform data analysis to guide strategic..."
Data Analyst / Data Manager (APAC),Aspire SG,NA,"An almost professional presenter, with the ability to create content for both data and non data professionals. As the Data Champion you should have;..."
Technical Customer Support Engineer,Solace Corporation,NA,"Solace technology enables open data movement by routing information between applications, devices, and people across clouds using open APIs and protocols...."
System Engineer,Accenture,NA,"Perform site visit and able to identify the pain points such as inaccurate data, overcooling and poor scheduling...."
Panel Assistant - Market Research (Freelance 4 months),GfK Asia Pte Ltd,$8 - $10 an hour,Management of panel members and data collection. Panel Assistant - Market Research (Freelance 4 months)*....
"Executive Assistant, APAC",Kraft Heinz Company,NA,"Uncompromising integrity, especially when managing confidential data. The Kraft Heinz Company is revolutionizing the food industry – we will be the most..."
Associate Business Analyst,AvePoint,NA,"Over 15,000 companies and 5 million cloud users trust AvePoint to accelerate the migration, management, and protection of their Office 365 and SharePoint data...."
"Big Data Database Administrator, Corporate Technology, Assoc...",JP Morgan Chase,NA,"Preserve security and data privacy. Translate, load and exhibit unrelated data sets in various formats and sources like JSON, text files, Kafka queues, and log..."
Logistics Operations Analyst,Facebook,NA,"Analyze financial data, manage budgeting and deep dive into shipment data. Facebook's mission is to give people the power to build community and bring the world..."
Diversity Programs Specialist,Facebook,NA,"Use influence to drive engagement and accountability across recruiting and business partners utilizing data. Provide relevant data, analysis and recommendations..."
Client Relations Specialist,The Noteway,"$2,000 - $2,500 a month","Demonstrate competence to help serve customers, as well as collect customer data and feedback. The Role of Client Relations Specialist:...."
Data Insights Analyst,GlaxoSmithKline,NA,This role requires strong understanding of Data platform technologies. In this newly created role of Data Insights Specialist within our Global Tech...
Strategy and Business Operations Associate,Indeed,NA,"1-2 years of work experience in an analytical role such as business intelligence, data analytics, consulting. You will perform data analysis to guide strategic..."
Data Science Developer,Cloak Pte. Ltd.,NA,"Data Science Developer*. You are expected to follow best-in-class processes of data preparation, data analytics, deep machine learning, visualization and..."
"Analyst, Valuation, Reporting and Analytics",Mitsubishi UFJ Fund Services,NA,"Work on automation of pricing, validation and data transformation. Experience in major data vendors like Bloomberg, Reuters, and IDC...."
Oracle Business Intelligence Consultants,Genie Genie,NA,Candidates without Oracle Business Intelligence tools but with other tools and with experience in extracting data from Oracle Databases and Oracle Applications...
Data Warehouse Developer,Wirecard Asia,NA,Identify and resolve data issues through configuration of data cleansing and de-duplication software; Create tools to store data (e.g....
Strategy Analytics Analyst (APAC Region),UPS,NA,"A major focus of this role is to support the team with data crunching, data analysis, database management as well as other administrative support...."
ANALYTICAL SCIENTIST (RESEARCH & DEVELOPMENT),Biotech Lab Singapore (BLS),NA,"The candidate should be able to compile, analyze and draw conclusions from data generated. The selected candidate will join a global biopharmaceutical company..."
Data Analyst / Scientist,StarHub,NA,Data Analyst / Scientist - (1800000Q). : Business Analysis/ Data Analysis. Master Degree in Data Science is preferred....
Customer Service Officer (Bahasa Indonesian Speaking),inCall Systems– Singapore,NA,Build/improve client’s database through data profiling/data verification exercises. Daily outbound & inbound calls....
Data Centre Operator,Recruitment Hub Asia Pte Ltd,"$2,500 a month","* Industry: IT Service Provider * Working location: Lavender * Salary range: up to SGD2500 * One year contract (Renewable, entitled to performance bonus and..."
Data Scientist (Asia Pacific),ThreatMetrix,NA,"As a Data Scientist consultant, you’ll use data from the largest real-time fraud detection platform on the planet to craft solutions for our customers...."
Data Scientist,Slicebread,NA,Proven experience as a Data Scientist or Data Analyst. Experience in data mining. Tableau) and data frameworks (e.g....
Data Scientist,Mediacorp Pte Ltd,NA,"Work with other teams in MediaCorp to understand business needs, document data and data integration requirements, and resolve conflicting business/data..."
Data Center Engineer (Shift),NA,NA,Experience in Data Centre operations with some basic network support. Roles and Responsibilities:....
Compliance - Data Management Operations - Analyst,JP Morgan Chase,NA,"Reference Data Domains (Security, Client and Pricing data etc.). The team is responsible for data validations & reconciliation across inbound data feeds to..."
Ops Client Services Specialist,UBS,NA,Demonstrate sensitivity and keen understanding of data confidentiality and client privacy. Are you a person who enjoys interactions with clients?...
Big Data Administrator,Pan Asia Resources,NA,Working transversally with other teams to guarantee high data quality and availability. Expert Knowledge on :....
Data Scientist,Solvay,NA,"Degree / Masters in Information Technology, Analytics, data science, statistics, data mining. Minimum experience of 3 years in data science or big data is..."
Data Scientist,NCS,NA,"Experience working with very large data sets, including statistical analyses, data visualization, data mining, and data cleansing/transformation and machine..."
Admin Assistant,"Marriott International, Inc",NA,"Data publicării 23.01.2018 Număr post 180008P7 Categoria postului Administrativ Locaţie Singapore, Singapore, Singapore VIEW ON MAP Brand Corporate Orar Normă..."
Senior Data Analytics Specialist,BNP Paribas,NA,"Bachelors or Master’s degree in Data Science, Data Analytics or Applied Statistics. Set up and enforce standards for data, data acquisition, analytics..."
Investigations Officer,Grab Taxi,NA,Work with our regional fraud unit to conduct data driven investigations on suspicious partner behaviour on the GrabCar platform. Get to know our Team:....
"Market Data Control, Associate",JP Morgan Chase,NA,Solid understanding of Market Data Distribution and Licensing. Market Data Services provides end to end support for the procurement and management of JPMorgan’s...
Data & Analytics - Associate,PwC,NA,Applying data mining techniques and performing statistical analysis to derive actionable insights hidden in vast amounts of data from our clients....
Part-time Research Assistant (4 hours),NA,NA,Input collected data into system. Conducting phone calls to respondents to collect necessary data (short questionnaire). 11.45am - 3.45pm (4 hours per day)....
Data Science Manager,Tuple Technologies Pte Ltd,"$36,000 - $72,000 a year","Ability to track down complex data and engineering issues, evaluate different algorithmic approaches and analyze data to solve problems - Creativity:...."
Research Assistant,Oxford Economics,NA,Ensure timely data updates ahead of the macroeconomic forecast cycle. Support the Head of Asia Economics and senior Asia economists by collecting and organising...
Market Analyst,Aramco,NA,"Strong proficiency in MS Excel to analyze data effectively. Excellent analytical skills to collect, collate and evaluate large amount of data...."
Data Science Analyst - UberEats Apac,Uber,NA,"Experience in designing and building data pipelines - automation expert. Goes beyond today and thinks about tomorrow, using data to drive his/her decision..."
Data Integration Consultant,TechBridge Market,NA,"Supports innovative and optimal data solutions. Works with internal team, vendors, consultants, and external partners to quickly identify and resolve data..."
Client Servicing Executives | Singapore & Malaysia,Togo Parts,NA,"We are looking for well-rounded, organized, super Executives who is able to handle servicing clients and business operations for Togoparts.com The core..."
Regional Data Analyst (Reporting and Automation),Grab Taxi,NA,Perform data wrangling and automate acquisition/transformation of custom data sources. Strong in SQL (min 1-2 years hands on experience with relational...
Admin Assistant,TECHNO-MARINE GROUP,NA,"Data entry (Generate documents such as Delivery orders, invoices etc). We are currently looking for competent persons to join our growing enterprise...."
"Google People Services, Immigration Specialist",Google,NA,"The Google People Services, Operations function is the services and program management group within People Operations that makes HR stuff easy and intuitive..."
BI Platform Engineer,Facebook,NA,"Experience with Hadoop, Hive, Presto or other Big Data technologies. Facebook's mission is to give people the power to build community and bring the world..."
Data Analyst,PropertyGuru,NA,"Logical thinking, data driven, strong number sense. 2 years working experience as a data analyst. You will leverage the most advanced big data platform and..."
"Operations Specialist, Workplace",Facebook,NA,Advocate for the customer by influencing product and engineering teams with data to make product changes. This person will combine a deep knowledge of quality...
Data Analytics Engineer,DSO National Laboratories,NA,Conduct research and participate in developing technical solutions for the SAF in data analytics with consideration of their mission and operational environment...
Assistant Engineer,ADC POWER CONCEPT PTE LTD,NA,"You will be part of a dynamic in-house engineering maintenance team responsible for the operation and maintenance of Data centre CRAC unit, UPS & DCIM...."
"Temp Staff (Warehouse, Retail Roadshows, Data Entry, Admin)",Eu Yan Sang (Singapore) Pte Ltd,$7 - $8 an hour,Various Temporary Assignments Available Period: Ad-hoc period between October 2017 - February 2018 Assignments last between 5 days to 2 months Candidates...
Xaxis | Insights & Analytics Intern,Xaxis,NA,We are looking for an Insights and Analytics Intern to lead an exciting new project in January 2018 to conduct an Industry Benchmarking Study. This unique...
"VP, Enterprise Development",MasterCard,NA,"Recognizing the co-ordination challenge posed by the time-zone differences between Europe, the US and AP, MEP and the region aims to appoint a senior,..."
Data Analyst / Data Manager (APAC),Aspire SG,NA,"An almost professional presenter, with the ability to create content for both data and non data professionals. As the Data Champion you should have;..."
Technical Customer Support Engineer,Solace Corporation,NA,NA
System Engineer,Accenture,NA,NA
Undergraduate Internship 2018,ViSenze - Artificial Intelligence for the Visual W...,NA,NA
Admin Assistant,The Blue Barrel Singapore,NA,NA
"Operations Specialist, Workplace",Facebook,NA,NA
"Tech Ops Specialist, Production Ops",Netflix,NA,NA
Investment Banking Division (IBD) Analyst [6 Months Contract...,NA,NA,NA
Assistant Engineer,ADC POWER CONCEPT PTE LTD,NA,NA
"Temp Staff (Warehouse, Retail Roadshows, Data Entry, Admin)",Eu Yan Sang (Singapore) Pte Ltd,$7 - $8 an hour,NA
Operations Admin Assistant,Clean Solutions,NA,NA
Xaxis | Insights & Analytics Intern,Xaxis,NA,NA
Data Admin (Manufacturing Engineering System),Lumileds Singapore,"$1,000 - $1,500 a month",NA
Data Center Operations Trainee,Amazon.com,NA,NA
"Executive, Global Learning",Singapore Institute of Management,NA,NA
Data Analyst,Shangri-La Hotels,NA,NA
Client Services Representative,Autodesk,NA,NA
Chatbot/ Machine Learning Engineer,Citi,NA,NA
Executive (Data Analyst),ST Aerospace Supplies Pte Ltd,NA,NA
Data Center Manager,Digital Realty,NA,NA
Data Center Field Engineer,Amazon.com,NA,NA
"Senior Manager, Data Governance",JLL,NA,NA
Research & Development - Associate Researcher - Singapore,Procter & Gamble,NA,NA
Admin Assistant,Advisors in Sync,NA,NA
"Consultant in Financial Services - Data Quality, Finance Tra...",Sia Partners,NA,NA
Office Administrator,Bose,NA,NA
Full Time/Part Time Admin,Celestial Treasures,"$1,700 - $1,900 a month",NA
Admin Assistant,Foo Kon Tan,NA,NA
Administrative Assistant,NTUC Fair Price,NA,NA
Research Assistant,National University of Singapore,NA,NA
Pricing Manager - Data Insights,Schneider Electric,NA,NA
Product Development Engineer 2 (Device Analysis),"Advanced Micro Devices, Inc.",NA,NA
"Senior Executive/Assistant Manager, Data Centre Services",Singapore Pools,NA,NA
Admin Assistant,Mason Industries Pte Ltd,NA,NA
Admin Assistant,Kim Heng Marine & Oilfield Pte Ltd,NA,NA
"Administrative Officer, Investment Banking/Corporate Banking...",United Overseas Bank,NA,NA
"Threat Analyst, Research Operations - Business Integrity",Facebook,NA,NA
GroupM | Data Scientist,GroupM,NA,NA
Admin Assistant Officer Salary: From SGD1800 to SGD2200,Sunshine Travel,NA,NA
"Analyst, Brand Insights",Amobee,NA,NA
"Policy Enforcement and Operations Business Analyst, YouTube",Google,NA,NA
Credit Risk Analyst,Citi,NA,NA
QA Coordinator/ Document Controller,Cameron,NA,NA
"Intermediate Rep, Fund/Client Accounting",BNY Mellon,NA,NA
Data Analyst,JLL,NA,NA
Data Miner,StarHub,NA,NA
Project Coordinator Job,MSD,NA,NA
"Program Analyst, Network Planning & Analytics",Facebook,NA,NA
Field Data Support Specialist (Contract),Manpower Staffing Services (S) Pte Ltd (EA License...,"$2,500 - $3,500 a month",NA
Data Analyst,Future-Moves Group,NA,NA
Temporary Admin Assistant,Fassler Gourmet Pte Ltd,NA,NA
Knowledge Analyst - Operations,McKinsey & Company,NA,NA
"VP, Enterprise Development",MasterCard,NA,NA
Data Analyst / Data Manager (APAC),Aspire SG,NA,NA
System Engineer,Accenture,NA,"Perform site visit and able to identify the pain points such as inaccurate data, overcooling and poor scheduling...."
"VP, Enterprise Development",MasterCard,NA,"Recognizing the co-ordination challenge posed by the time-zone differences between Europe, the US and AP, MEP and the region aims to appoint a senior,..."
"GroupM [m]PLATFORM | Data & Audience Strategy, Manager",GroupM,NA,"Identify and vet strategically advantageous data acquisition opportunities, including audience data assets from publisher-direct relationships and 3rd party..."
Application Analyst (Analytics),Sciente,NA,"Analyze and map data from source systems to target operational data stores and data marts; Identifying data quality issues, and supports the data governance..."
Data Engineer - SQL / Big Data / Java,Denodo Technologies,NA,"We want a professional who will travel, consult, develop, train and troubleshoot to enhance our clients’ journey around Data Virtualization...."
Database Engineer,Seagate,NA,"Design, develop and deliver / implement data solutions to include:. Support and maintain data and database systems to meet business delivery specifications and..."
Data Mgr II,Covance,NA,Facilitate Data Management functions of end-to-end data lock processes. Create test data if needed. Act as a data liaison between Clinical Data Management and...
"Retail Associate - HQ, Singapore",LOVEBONITO SINGAPORE PTE LTD,NA,"Job Summary About us Starting out as a passion project in 2006, Love, Bonito has grown exponentially over the last 11 years and is now the largest..."
Data Analyst,Vault Dragon,NA,"Acquire data from new and existing data sources. Understand business’ data requirements and provide relevant data reports, visualisations, analysis, and..."
Data Analyst,PANASIA GROUP,NA,Position: Banking Data Analyst Location: Singapore Employment Type: 6 Months Extendable Contract - 0-3 Years Any Bachelor's can Apply - Major Skills in...
Data Analyst,A-IT SOFTWARE SERVICES PTE LTD,NA,Data analysis in financial services industry:. At least 8 to 10 years' relevant experience in project management and data analysis in financial services...
Research Assistant,Duke NUS graduate medical school Singapore,NA,"Evaluate and interpret collected data, prepare oral presentations and contribute to written reports/scientific manuscripts/literature for publication...."
Operation Specialist,Amazon.com,NA,"Experience handling confidential data. Amazon.com is looking for high-judgment individuals to join us as a Seller Vetting Specialist, to evaluate merchant..."
Data Scientist,SHELL INFOTECH,NA,"Keen on learning, data, scale and agility. Primary focus will be in applying data science to solve business problems;..."
Mapletree Associate Programme (MAP)- Investment & Asset Mana...,Mapletree Investments Pte Ltd,NA,"You will also be tasked to collate and analyse research data for allocated markets including macroeconomics, sector-level research, competitor analysis and..."
Assistant Training Specialist (Singapore Water Academy),"PUB, The National Water Agency",NA,Provide administrative support for data and statistics generation to measure performance. The Singapore Water Academy (SgWA) was set up to better equip our PUB...
Architect /Designer/ Visualizer,Studio Milou Singapore,NA,"Compiling data for architectural plans, specifications, cost estimates, reports, etc. Production of design drawings/graphic documentation for architectural..."
Data Analytics Lead,Johnson & Johnson Family of Companies,NA,"Experience in logistics, customer service or supply chain function and roles of data engineer, data scientist or data analyst is highly preferred...."
Food and Drink Trend Analyst,Mintel,NA,"Ability to think creatively when analyzing and presenting data. Ability to analyze multiple sets of data and write concise, insightful analysis...."
Data Research & Process Manager,Pulley Ascent,NA,"Market research and data enhancement. Data analysis and report, VBA coding. As a Data Research & Process Manager, you will work closely with our teams to..."
Management Associate,Fincore,NA,3 month training in data analysis and marketing. Fincore is an internet and media start-up with exciting growth potential in the SEA region....
Analyst,TSA Solutions,"$3,000 - $4,200 a month",Knowledge of SQL for retrieving data. Support Data related activities throughout the Sales process. Provide thought leadership and best practice in data...
Compliance - Analytics - Associate,JP Morgan Chase,NA,Demonstrated experience in data and statistical analysis; A deep understanding of statistical & data analytical techniques....
Senior Analyst (Business Intelligence),Tetra Pak,NA,Microsoft Azure Databases and Data Analytics. To provide application support for Business Intelligence (BI) service....
"Research Analyst, Singapore",Twitter,NA,"Ability to sift through large quantities of data to tell meaningful stories. Knowledge of statistical packages (SPSS, R, etc) and data query languages (SQL, etc..."
"Specialist, Data Protection",Vistra,NA,Engage with clients on their data protection requirements. Advise on legal interpretation of data protection and privacy laws....
Temporary Research Assistant (6 months),Singapore Tourism Board,NA,To support the Research Division in the user testing requirements in Tourism Data Hub. Understand the review requirements provided by various internal users....
Project Manager Big Data Analytics,Wipro LTD,NA,Mandatory Skills: FULLSTACK JAVA Desirable Skills: Project Management-BAS-BI Job Description: Key skills required for the job are: FULLSTACK JAVA-L2 ...
Data Scientist - Fintech,OCBC Bank: SG,NA,"Data Scientist - Fintech - (170001R4). Conduct data exploration, feature engineering, visualization and develop models...."
Accounts Assistant,Cellarbration Exclusive Pte Ltd,NA,Reconcile daily outlet receipts- Enter accurate and timely data into the accounting system.- Maintain accurate financial records and statements....
"Specialist, Ecommerce Finance",adidas,NA,Financial reconciliation between data captured in 3rd party platform and adidas systems. Manage the day-to-day e-Commerce operations from finance perspective....
Loan Administration Officer,Intesa San Paolo,NA,"Input of credit data (facilities, loans, guarantees etc) into SIRE system; Intesa Sanpaolo is the banking group leader in Italy...."
"Associate, Business Intelligence (Operations)",Lazada,NA,Performing data analytics and general reporting to ensure timely and accurate data in supporting business operations and strategic initiatives....
"VP/AVP, Data Scientist, Big Data Analytics Group",United Overseas Bank Ltd,NA,"The *Big Data Analytics Group*. Possess the ability to query and use large, robust data sets across traditional Data Warehouse and Hadoop platforms...."
Linux / Unix Data Center System Operator,Optimum Solutions (199700895N),"$2,500 - $4,000 a month",Must have experiences in data center operations. Optimum Solutions (199700895N) seek to hire 6 Linux / Unix Data Center Operator ( 3months contract - Shift work...
Research Data Scientist (IBM Singapore Lab),IBM,NA,Data pipeline engineering skills:. The selected candidate will work with a team of researchers and software developers on projects that will utilize the...
Analyst / Senior Analyst - APAC,Analysys Mason,NA,"MS Excel use and hand-on experience in data collection, developing models and forecasts. Design and implement intelligent analytical processes for a wide range..."
Document Control Specialist,Excelitas Technologies Corp.,NA,Perform data entry function for creation and maintenance of accuracy of part numbers and BOM (Bill of Material) and routing on the MRP system for release....
Data Scientist,Singapore Tourism Board,NA,"Perform data cleaning, pre-processing and in-depth analysis to extract and integrate meaningful insights across multiple sources of data...."
Data Analyst (1 Year Contract),AIA,NA,"Conduct in-depth interviews with local business owners across multiple channels to identify the current gaps in data capture, data storage and data accuracy...."
"Officer, Library (Digital Initiatives & Services)",Singapore Institute of Management,NA,Ability to analyse data using business intelligence and data analytics platforms. Manage and monitor system data integrity in the library systems and other...
Data Center Operator,Comtel Solutions,NA,"Managing incident reports, data transfer to external systems, if any. We are looking for a Data Center Operator for our Client’ projects...."
"Data Analyst, Research Operations ��� Business Integrity",Facebook,NA,Data analysis skills required. Passionate about diving into the world of big data and trends analyses? Conduct in-depth investigations leveraging large and...
Quality Assurance Specialist,Merck KGaA,NA,"Assist in investigations from events, complaints or data audits. A career at Merck is an ongoing journey of discovery:...."
Research & Development - Research Scientist – Machine Learni...,Procter & Gamble,NA,We are looking for a talented Data Scientist to join our upstream Beauty Technology group. Help the team deploy models to practice and make frequent model...
Paktor - Data Entry Assistant (Part Time),Paktor Pte Ltd,NA,Good data entry skills with an ability to identify numerical errors. Paktor is the leading SE Asian provider of various social networking platforms that are...
Senior Officer - Academic Services,The Institute of Technical Education,NA,"Strong data analysis and data visualisation skills will be another added advantage. As a Senior Officer in ITE, your challenge is to formulate, review and..."
Software Engineer (Data Products),honestbee,NA,"Working closely with Data Scientists and Data Engineers to build out data products. At honestbee, the data team works on all things data...."
"Customer Engagement and Customer Analytics, Digital Banking",United Overseas Bank,NA,"Knowledge of SQL, Data Warehousing, BI, Data Modelling with experience in Big Data a strong plus. Support for the development and implementation of the Digital..."
Admin Assistant,FLP YOMIKO Singapore Pte Ltd,"$1,500 - $1,700 a month","Handle general administrative duties / Bookkeeping / Data Entries / Filling & Handle Confidential/ Non-Disclosure Documentation, Prepare quotations, invoices,..."
Teacher Assistant (Admin Support),NA,NA,"Assist in data entry, collection and collation of surveys. Handle general adminstrative matters...."
Data Scientist,Accenture,NA,"As well as be exposed to the challenges of using statistics in a business setting, such as incomplete data, biased data, large data sets, low signal-to-noise..."
Data Scientist,Accenture,NA,"As well as be exposed to the challenges of using statistics in a business setting, such as incomplete data, biased data, large data sets, low signal-to-noise..."
Technical Customer Support Engineer,Solace Corporation,NA,"Solace technology enables open data movement by routing information between applications, devices, and people across clouds using open APIs and protocols...."
System Engineer,Accenture,NA,"Perform site visit and able to identify the pain points such as inaccurate data, overcooling and poor scheduling...."
Data Scientist,Asia Fusion Technology,NA,"You will play a key role in the data analytic team, building next generation big data analytics capabilities...."
Data Scientist,Aviva,NA,Experienced in Data Mining and Data Manipulation. Data Management Skills in Big Data Environment (Hadoop). Perform regular data audit to ensure data is free of...
Data Scientist,HP,NA,The HPS Quality Data Insights team is responsible for improving the value and prevalence of customer data insights into the HPS and Supplies Businesses across...
Data Scientist,Shift Technology,NA,"Understand insurance data and fraud mechanisms; As for the solution, our data scientists must be able to produce predictions justified with intelligible..."
Data Scientist-Loops,Mozat,NA,3 Proven success in applying data science methodologies to business. 1 Initiate high impact data science projects and make actionable plan....
IT Consultant - Business Intelligence (Singapore),Goldtech Resources Pte. Ltd.,NA,"Strong in data modeling and ETL concept. Involve in project rollout, data validation, SIT, UAT, production migration and hyper care support...."
